sample ,population,chromosome,rawGenomicCount
HG00101,GBR,chr3,4
HG00101,GBR,chr4,23
HG00101,GBR,chr5,144
HG00101,GBR,chr6,4
HG00101,GBR,chr7,11
HG00101,GBR,chr8,
HG00101,GBR,chr9,2
HG00101,GBR,chr10,7
HG00101,GBR,chr11,4
HG00101,GBR,chr12,48
HG00101,GBR,chr13,
HG00101,GBR,chr14,1
HG00101,GBR,chr15,4
HG00101,GBR,chr16,1
HG00101,GBR,chr17,
HG00101,GBR,chr18,9
HG00101,GBR,chr19,10
HG00101,GBR,chr20,
HG00101,GBR,chr21,6
HG00101,GBR,chr22,1
HG00102,GBR,chr1,17
HG00102,GBR,chr2,6
HG00102,GBR,chr3,1
HG00102,GBR,chr4,8
HG00102,GBR,chr5,61
HG00102,GBR,chr6,3
HG00102,GBR,chr7,8
HG00102,GBR,chr8,1
HG00102,GBR,chr9,1
HG00102,GBR,chr10,4
HG00102,GBR,chr11,
HG00102,GBR,chr12,20
HG00102,GBR,chr13,
HG00102,GBR,chr14,
HG00102,GBR,chr15,2
HG00102,GBR,chr16,
HG00102,GBR,chr17,1
HG00102,GBR,chr18,2
HG00102,GBR,chr19,
HG00102,GBR,chr20,1
HG00102,GBR,chr21,6
HG00102,GBR,chr22,
HG00103,GBR,chr1,22
HG00103,GBR,chr2,4
HG00103,GBR,chr3,6
HG00103,GBR,chr4,17
HG00103,GBR,chr5,41
HG00103,GBR,chr6,2
HG00103,GBR,chr7,8
HG00103,GBR,chr8,3
HG00103,GBR,chr9,4
HG00103,GBR,chr10,2
HG00103,GBR,chr11,4
HG00103,GBR,chr12,22
HG00103,GBR,chr13,
HG00103,GBR,chr14,
HG00103,GBR,chr15,8
HG00103,GBR,chr16,2
HG00103,GBR,chr17,
HG00103,GBR,chr18,9
HG00103,GBR,chr19,1
HG00103,GBR,chr20,3
HG00103,GBR,chr21,4
HG00103,GBR,chr22,
HG00105,GBR,chr1,28
HG00105,GBR,chr2,7
HG00105,GBR,chr3,3
HG00105,GBR,chr4,21
HG00105,GBR,chr5,111
HG00105,GBR,chr6,
HG00105,GBR,chr7,6
HG00105,GBR,chr8,2
HG00105,GBR,chr9,1
HG00105,GBR,chr10,4
HG00105,GBR,chr11,
HG00105,GBR,chr12,26
HG00105,GBR,chr13,
HG00105,GBR,chr14,
HG00105,GBR,chr15,7
HG00105,GBR,chr16,2
HG00105,GBR,chr17,3
HG00105,GBR,chr18,13
HG00105,GBR,chr19,10
HG00105,GBR,chr20,2
HG00105,GBR,chr21,3
HG00105,GBR,chr22,
HG00106,GBR,chr1,89
HG00106,GBR,chr2,11
HG00106,GBR,chr3,6
HG00106,GBR,chr4,49
HG00106,GBR,chr5,309
HG00106,GBR,chr6,9
HG00106,GBR,chr7,25
HG00106,GBR,chr8,3
HG00106,GBR,chr9,14
HG00106,GBR,chr10,13
HG00106,GBR,chr11,6
HG00106,GBR,chr12,84
HG00106,GBR,chr13,
HG00106,GBR,chr14,
HG00106,GBR,chr15,26
HG00106,GBR,chr16,5
HG00106,GBR,chr17,4
HG00106,GBR,chr18,24
HG00106,GBR,chr19,11
HG00106,GBR,chr20,4
HG00106,GBR,chr21,19
HG00106,GBR,chr22,4
HG00107,GBR,chr1,16
HG00107,GBR,chr2,2
HG00107,GBR,chr3,2
HG00107,GBR,chr4,7
HG00107,GBR,chr5,85
HG00107,GBR,chr6,5
HG00107,GBR,chr7,6
HG00107,GBR,chr8,2
HG00107,GBR,chr9,6
HG00107,GBR,chr10,4
HG00107,GBR,chr11,2
HG00107,GBR,chr12,36
HG00107,GBR,chr13,1
HG00107,GBR,chr14,
HG00107,GBR,chr15,4
HG00107,GBR,chr16,1
HG00107,GBR,chr17,
HG00107,GBR,chr18,6
HG00107,GBR,chr19,1
HG00107,GBR,chr20,2
HG00107,GBR,chr21,6
HG00107,GBR,chr22,2
HG00108,GBR,chr1,21
HG00108,GBR,chr2,7
HG00108,GBR,chr3,4
HG00108,GBR,chr4,13
HG00108,GBR,chr5,56
HG00108,GBR,chr6,
HG00108,GBR,chr7,8
HG00108,GBR,chr8,1
HG00108,GBR,chr9,3
HG00108,GBR,chr10,3
HG00108,GBR,chr11,3
HG00108,GBR,chr12,21
HG00108,GBR,chr13,
HG00108,GBR,chr14,
HG00108,GBR,chr15,4
HG00108,GBR,chr16,1
HG00108,GBR,chr17,
HG00108,GBR,chr18,6
HG00108,GBR,chr19,8
HG00108,GBR,chr20,3
HG00108,GBR,chr21,3
HG00108,GBR,chr22,1
HG00109,GBR,chr1,36
HG00109,GBR,chr2,10
HG00109,GBR,chr3,6
HG00109,GBR,chr4,30
HG00109,GBR,chr5,128
HG00109,GBR,chr6,3
HG00109,GBR,chr7,16
HG00109,GBR,chr8,2
HG00109,GBR,chr9,6
HG00109,GBR,chr10,8
HG00109,GBR,chr11,6
HG00109,GBR,chr12,41
HG00109,GBR,chr13,
HG00109,GBR,chr14,
HG00109,GBR,chr15,6
HG00109,GBR,chr16,3
HG00109,GBR,chr17,2
HG00109,GBR,chr18,11
HG00109,GBR,chr19,9
HG00109,GBR,chr20,5
HG00109,GBR,chr21,16
HG00109,GBR,chr22,3
HG00110,GBR,chr1,52
HG00110,GBR,chr2,17
HG00110,GBR,chr3,18
HG00110,GBR,chr4,41
HG00110,GBR,chr5,166
HG00110,GBR,chr6,14
HG00110,GBR,chr7,21
HG00110,GBR,chr8,11
HG00110,GBR,chr9,11
HG00110,GBR,chr10,7
HG00110,GBR,chr11,9
HG00110,GBR,chr12,76
HG00110,GBR,chr13,5
HG00110,GBR,chr14,5
HG00110,GBR,chr15,15
HG00110,GBR,chr16,7
HG00110,GBR,chr17,12
HG00110,GBR,chr18,16
HG00110,GBR,chr19,7
HG00110,GBR,chr20,12
HG00110,GBR,chr21,18
HG00110,GBR,chr22,2
HG00111,GBR,chr1,30
HG00111,GBR,chr2,5
HG00111,GBR,chr3,4
HG00111,GBR,chr4,12
HG00111,GBR,chr5,59
HG00111,GBR,chr6,2
HG00111,GBR,chr7,6
HG00111,GBR,chr8,1
HG00111,GBR,chr9,3
HG00111,GBR,chr10,11
HG00111,GBR,chr11,2
HG00111,GBR,chr12,25
HG00111,GBR,chr13,1
HG00111,GBR,chr14,
HG00111,GBR,chr15,4
HG00111,GBR,chr16,2
HG00111,GBR,chr17,2
HG00111,GBR,chr18,6
HG00111,GBR,chr19,3
HG00111,GBR,chr20,3
HG00111,GBR,chr21,6
HG00111,GBR,chr22,
HG00112,GBR,chr1,72
HG00112,GBR,chr2,5
HG00112,GBR,chr3,3
HG00112,GBR,chr4,38
HG00112,GBR,chr5,216
HG00112,GBR,chr6,4
HG00112,GBR,chr7,13
HG00112,GBR,chr8,4
HG00112,GBR,chr9,4
HG00112,GBR,chr10,7
HG00112,GBR,chr11,7
HG00112,GBR,chr12,53
HG00112,GBR,chr13,
HG00112,GBR,chr14,
HG00112,GBR,chr15,7
HG00112,GBR,chr16,3
HG00112,GBR,chr17,1
HG00112,GBR,chr18,13
HG00112,GBR,chr19,5
HG00112,GBR,chr20,2
HG00112,GBR,chr21,10
HG00112,GBR,chr22,
HG00113,GBR,chr1,33
HG00113,GBR,chr2,12
HG00113,GBR,chr3,5
HG00113,GBR,chr4,45
HG00113,GBR,chr5,198
HG00113,GBR,chr6,7
HG00113,GBR,chr7,11
HG00113,GBR,chr8,3
HG00113,GBR,chr9,3
HG00113,GBR,chr10,28
HG00113,GBR,chr11,2
HG00113,GBR,chr12,56
HG00113,GBR,chr13,
HG00113,GBR,chr14,
HG00113,GBR,chr15,14
HG00113,GBR,chr16,4
HG00113,GBR,chr17,3
HG00113,GBR,chr18,13
HG00113,GBR,chr19,4
HG00113,GBR,chr20,3
HG00113,GBR,chr21,11
HG00113,GBR,chr22,3
HG00114,GBR,chr1,54
HG00114,GBR,chr2,22
HG00114,GBR,chr3,12
HG00114,GBR,chr4,33
HG00114,GBR,chr5,740
HG00114,GBR,chr6,2
HG00114,GBR,chr7,27
HG00114,GBR,chr8,1
HG00114,GBR,chr9,4
HG00114,GBR,chr10,4
HG00114,GBR,chr11,7
HG00114,GBR,chr12,172
HG00114,GBR,chr13,5
HG00114,GBR,chr14,
HG00114,GBR,chr15,12
HG00114,GBR,chr16,3
HG00114,GBR,chr17,3
HG00114,GBR,chr18,10
HG00114,GBR,chr19,17
HG00114,GBR,chr20,4
HG00114,GBR,chr21,19
HG00114,GBR,chr22,
HG00115,GBR,chr1,126
HG00115,GBR,chr2,21
HG00115,GBR,chr3,8
HG00115,GBR,chr4,88
HG00115,GBR,chr5,751
HG00115,GBR,chr6,13
HG00115,GBR,chr7,28
HG00115,GBR,chr8,5
HG00115,GBR,chr9,5
HG00115,GBR,chr10,11
HG00115,GBR,chr11,5
HG00115,GBR,chr12,227
HG00115,GBR,chr13,
HG00115,GBR,chr14,
HG00115,GBR,chr15,28
HG00115,GBR,chr16,6
HG00115,GBR,chr17,2
HG00115,GBR,chr18,24
HG00115,GBR,chr19,19
HG00115,GBR,chr20,7
HG00115,GBR,chr21,35
HG00115,GBR,chr22,
HG00116,GBR,chr1,17
HG00116,GBR,chr2,8
HG00116,GBR,chr3,2
HG00116,GBR,chr4,14
HG00116,GBR,chr5,54
HG00116,GBR,chr6,2
HG00116,GBR,chr7,7
HG00116,GBR,chr8,1
HG00116,GBR,chr9,1
HG00116,GBR,chr10,3
HG00116,GBR,chr11,3
HG00116,GBR,chr12,12
HG00116,GBR,chr13,
HG00116,GBR,chr14,1
HG00116,GBR,chr15,4
HG00116,GBR,chr16,4
HG00116,GBR,chr17,
HG00116,GBR,chr18,7
HG00116,GBR,chr19,
HG00116,GBR,chr20,2
HG00116,GBR,chr21,1
HG00116,GBR,chr22,2
HG00117,GBR,chr1,24
HG00117,GBR,chr2,5
HG00117,GBR,chr3,2
HG00117,GBR,chr4,26
HG00117,GBR,chr5,96
HG00117,GBR,chr6,2
HG00117,GBR,chr7,13
HG00117,GBR,chr8,1
HG00117,GBR,chr9,3
HG00117,GBR,chr10,12
HG00117,GBR,chr11,1
HG00117,GBR,chr12,33
HG00117,GBR,chr13,1
HG00117,GBR,chr14,
HG00117,GBR,chr15,11
HG00117,GBR,chr16,2
HG00117,GBR,chr17,
HG00117,GBR,chr18,8
HG00117,GBR,chr19,3
HG00117,GBR,chr20,4
HG00117,GBR,chr21,4
HG00117,GBR,chr22,2
HG00118,GBR,chr1,64
HG00118,GBR,chr2,12
HG00118,GBR,chr3,3
HG00118,GBR,chr4,55
HG00118,GBR,chr5,448
HG00118,GBR,chr6,5
HG00118,GBR,chr7,17
HG00118,GBR,chr8,7
HG00118,GBR,chr9,8
HG00118,GBR,chr10,9
HG00118,GBR,chr11,2
HG00118,GBR,chr12,152
HG00118,GBR,chr13,
HG00118,GBR,chr14,
HG00118,GBR,chr15,24
HG00118,GBR,chr16,6
HG00118,GBR,chr17,2
HG00118,GBR,chr18,10
HG00118,GBR,chr19,4
HG00118,GBR,chr20,5
HG00118,GBR,chr21,21
HG00118,GBR,chr22,
HG00119,GBR,chr1,20
HG00119,GBR,chr2,5
HG00119,GBR,chr3,1
HG00119,GBR,chr4,15
HG00119,GBR,chr5,42
HG00119,GBR,chr6,4
HG00119,GBR,chr7,4
HG00119,GBR,chr8,1
HG00119,GBR,chr9,7
HG00119,GBR,chr10,4
HG00119,GBR,chr11,3
HG00119,GBR,chr12,11
HG00119,GBR,chr13,
HG00119,GBR,chr14,
HG00119,GBR,chr15,7
HG00119,GBR,chr16,3
HG00119,GBR,chr17,2
HG00119,GBR,chr18,3
HG00119,GBR,chr19,1
HG00119,GBR,chr20,1
HG00119,GBR,chr21,5
HG00119,GBR,chr22,1
HG00120,GBR,chr1,17
HG00120,GBR,chr2,2
HG00120,GBR,chr3,4
HG00120,GBR,chr4,14
HG00120,GBR,chr5,54
HG00120,GBR,chr6,1
HG00120,GBR,chr7,11
HG00120,GBR,chr8,1
HG00120,GBR,chr9,7
HG00120,GBR,chr10,6
HG00120,GBR,chr11,2
HG00120,GBR,chr12,20
HG00120,GBR,chr13,
HG00120,GBR,chr14,
HG00120,GBR,chr15,7
HG00120,GBR,chr16,2
HG00120,GBR,chr17,1
HG00120,GBR,chr18,8
HG00120,GBR,chr19,4
HG00120,GBR,chr20,2
HG00120,GBR,chr21,6
HG00120,GBR,chr22,
HG00121,GBR,chr1,39
HG00121,GBR,chr2,8
HG00121,GBR,chr3,9
HG00121,GBR,chr4,38
HG00121,GBR,chr5,125
HG00121,GBR,chr6,3
HG00121,GBR,chr7,13
HG00121,GBR,chr8,8
HG00121,GBR,chr9,8
HG00121,GBR,chr10,7
HG00121,GBR,chr11,2
HG00121,GBR,chr12,34
HG00121,GBR,chr13,1
HG00121,GBR,chr14,1
HG00121,GBR,chr15,8
HG00121,GBR,chr16,4
HG00121,GBR,chr17,1
HG00121,GBR,chr18,11
HG00121,GBR,chr19,14
HG00121,GBR,chr20,4
HG00121,GBR,chr21,9
HG00121,GBR,chr22,
HG00122,GBR,chr1,34
HG00122,GBR,chr2,7
HG00122,GBR,chr3,5
HG00122,GBR,chr4,21
HG00122,GBR,chr5,223
HG00122,GBR,chr6,6
HG00122,GBR,chr7,12
HG00122,GBR,chr8,3
HG00122,GBR,chr9,4
HG00122,GBR,chr10,4
HG00122,GBR,chr11,5
HG00122,GBR,chr12,83
HG00122,GBR,chr13,
HG00122,GBR,chr14,
HG00122,GBR,chr15,6
HG00122,GBR,chr16,4
HG00122,GBR,chr17,
HG00122,GBR,chr18,10
HG00122,GBR,chr19,2
HG00122,GBR,chr20,2
HG00122,GBR,chr21,7
HG00122,GBR,chr22,2
HG00123,GBR,chr1,19
HG00123,GBR,chr2,8
HG00123,GBR,chr3,1
HG00123,GBR,chr4,16
HG00123,GBR,chr5,24
HG00123,GBR,chr6,1
HG00123,GBR,chr7,6
HG00123,GBR,chr8,7
HG00123,GBR,chr9,3
HG00123,GBR,chr10,3
HG00123,GBR,chr11,5
HG00123,GBR,chr12,5
HG00123,GBR,chr13,
HG00123,GBR,chr14,1
HG00123,GBR,chr15,3
HG00123,GBR,chr16,2
HG00123,GBR,chr17,2
HG00123,GBR,chr18,8
HG00123,GBR,chr19,4
HG00123,GBR,chr20,2
HG00123,GBR,chr21,5
HG00123,GBR,chr22,1
HG00124,GBR,chr1,190
HG00124,GBR,chr2,45
HG00124,GBR,chr3,39
HG00124,GBR,chr4,122
HG00124,GBR,chr5,727
HG00124,GBR,chr6,7
HG00124,GBR,chr7,79
HG00124,GBR,chr8,4
HG00124,GBR,chr9,24
HG00124,GBR,chr10,28
HG00124,GBR,chr11,19
HG00124,GBR,chr12,275
HG00124,GBR,chr13,2
HG00124,GBR,chr14,3
HG00124,GBR,chr15,46
HG00124,GBR,chr16,11
HG00124,GBR,chr17,6
HG00124,GBR,chr18,90
HG00124,GBR,chr19,100
HG00124,GBR,chr20,22
HG00124,GBR,chr21,43
HG00124,GBR,chr22,
HG00125,GBR,chr1,11
HG00125,GBR,chr2,2
HG00125,GBR,chr3,3
HG00125,GBR,chr4,6
HG00125,GBR,chr5,27
HG00125,GBR,chr6,1
HG00125,GBR,chr7,2
HG00125,GBR,chr8,2
HG00125,GBR,chr9,1
HG00125,GBR,chr10,7
HG00125,GBR,chr11,1
HG00125,GBR,chr12,8
HG00125,GBR,chr13,
HG00125,GBR,chr14,
HG00125,GBR,chr15,3
HG00125,GBR,chr16,2
HG00125,GBR,chr17,2
HG00125,GBR,chr18,7
HG00125,GBR,chr19,2
HG00125,GBR,chr20,1
HG00125,GBR,chr21,1
HG00125,GBR,chr22,2
HG00126,GBR,chr1,39
HG00126,GBR,chr2,8
HG00126,GBR,chr3,7
HG00126,GBR,chr4,30
HG00126,GBR,chr5,336
HG00126,GBR,chr6,8
HG00126,GBR,chr7,7
HG00126,GBR,chr8,3
HG00126,GBR,chr9,4
HG00126,GBR,chr10,10
HG00126,GBR,chr11,3
HG00126,GBR,chr12,122
HG00126,GBR,chr13,
HG00126,GBR,chr14,
HG00126,GBR,chr15,7
HG00126,GBR,chr16,4
HG00126,GBR,chr17,2
HG00126,GBR,chr18,8
HG00126,GBR,chr19,9
HG00126,GBR,chr20,5
HG00126,GBR,chr21,12
HG00126,GBR,chr22,
HG00127,GBR,chr1,29
HG00127,GBR,chr2,2
HG00127,GBR,chr3,
HG00127,GBR,chr4,12
HG00127,GBR,chr5,48
HG00127,GBR,chr6,
HG00127,GBR,chr7,8
HG00127,GBR,chr8,1
HG00127,GBR,chr9,2
HG00127,GBR,chr10,1
HG00127,GBR,chr11,
HG00127,GBR,chr12,22
HG00127,GBR,chr13,
HG00127,GBR,chr14,
HG00127,GBR,chr15,9
HG00127,GBR,chr16,
HG00127,GBR,chr17,1
HG00127,GBR,chr18,3
HG00127,GBR,chr19,1
HG00127,GBR,chr20,2
HG00127,GBR,chr21,4
HG00127,GBR,chr22,
HG00128,GBR,chr1,41
HG00128,GBR,chr2,10
HG00128,GBR,chr3,9
HG00128,GBR,chr4,29
HG00128,GBR,chr5,102
HG00128,GBR,chr6,2
HG00128,GBR,chr7,17
HG00128,GBR,chr8,1
HG00128,GBR,chr9,2
HG00128,GBR,chr10,5
HG00128,GBR,chr11,
HG00128,GBR,chr12,46
HG00128,GBR,chr13,
HG00128,GBR,chr14,
HG00128,GBR,chr15,11
HG00128,GBR,chr16,3
HG00128,GBR,chr17,
HG00128,GBR,chr18,14
HG00128,GBR,chr19,6
HG00128,GBR,chr20,3
HG00128,GBR,chr21,12
HG00128,GBR,chr22,
HG00129,GBR,chr1,34
HG00129,GBR,chr2,4
HG00129,GBR,chr3,2
HG00129,GBR,chr4,29
HG00129,GBR,chr5,114
HG00129,GBR,chr6,4
HG00129,GBR,chr7,11
HG00129,GBR,chr8,2
HG00129,GBR,chr9,6
HG00129,GBR,chr10,7
HG00129,GBR,chr11,1
HG00129,GBR,chr12,28
HG00129,GBR,chr13,
HG00129,GBR,chr14,
HG00129,GBR,chr15,4
HG00129,GBR,chr16,2
HG00129,GBR,chr17,
HG00129,GBR,chr18,9
HG00129,GBR,chr19,1
HG00129,GBR,chr20,3
HG00129,GBR,chr21,3
HG00129,GBR,chr22,1
HG00130,GBR,chr1,48
HG00130,GBR,chr2,10
HG00130,GBR,chr3,6
HG00130,GBR,chr4,23
HG00130,GBR,chr5,108
HG00130,GBR,chr6,5
HG00130,GBR,chr7,10
HG00130,GBR,chr8,8
HG00130,GBR,chr9,3
HG00130,GBR,chr10,10
HG00130,GBR,chr11,5
HG00130,GBR,chr12,32
HG00130,GBR,chr13,
HG00130,GBR,chr14,
HG00130,GBR,chr15,11
HG00130,GBR,chr16,2
HG00130,GBR,chr17,2
HG00130,GBR,chr18,14
HG00130,GBR,chr19,3
HG00130,GBR,chr20,2
HG00130,GBR,chr21,7
HG00130,GBR,chr22,
HG00131,GBR,chr1,11
HG00131,GBR,chr2,9
HG00131,GBR,chr3,1
HG00131,GBR,chr4,6
HG00131,GBR,chr5,13
HG00131,GBR,chr6,1
HG00131,GBR,chr7,2
HG00131,GBR,chr8,1
HG00131,GBR,chr9,3
HG00131,GBR,chr10,3
HG00131,GBR,chr11,3
HG00131,GBR,chr12,7
HG00131,GBR,chr13,
HG00131,GBR,chr14,
HG00131,GBR,chr15,4
HG00131,GBR,chr16,
HG00131,GBR,chr17,2
HG00131,GBR,chr18,4
HG00131,GBR,chr19,1
HG00131,GBR,chr20,1
HG00131,GBR,chr21,3
HG00131,GBR,chr22,
HG00132,GBR,chr1,28
HG00132,GBR,chr2,3
HG00132,GBR,chr3,5
HG00132,GBR,chr4,26
HG00132,GBR,chr5,180
HG00132,GBR,chr6,2
HG00132,GBR,chr7,10
HG00132,GBR,chr8,5
HG00132,GBR,chr9,5
HG00132,GBR,chr10,3
HG00132,GBR,chr11,2
HG00132,GBR,chr12,60
HG00132,GBR,chr13,
HG00132,GBR,chr14,
HG00132,GBR,chr15,12
HG00132,GBR,chr16,4
HG00132,GBR,chr17,1
HG00132,GBR,chr18,8
HG00132,GBR,chr19,4
HG00132,GBR,chr20,2
HG00132,GBR,chr21,5
HG00132,GBR,chr22,1
HG00133,GBR,chr1,26
HG00133,GBR,chr2,3
HG00133,GBR,chr3,8
HG00133,GBR,chr4,17
HG00133,GBR,chr5,62
HG00133,GBR,chr6,3
HG00133,GBR,chr7,6
HG00133,GBR,chr8,5
HG00133,GBR,chr9,11
HG00133,GBR,chr10,5
HG00133,GBR,chr11,3
HG00133,GBR,chr12,16
HG00133,GBR,chr13,1
HG00133,GBR,chr14,2
HG00133,GBR,chr15,11
HG00133,GBR,chr16,9
HG00133,GBR,chr17,2
HG00133,GBR,chr18,3
HG00133,GBR,chr19,11
HG00133,GBR,chr20,5
HG00133,GBR,chr21,6
HG00133,GBR,chr22,1
HG00136,GBR,chr1,1
HG00136,GBR,chr2,1
HG00136,GBR,chr3,3
HG00136,GBR,chr4,8
HG00136,GBR,chr5,18
HG00136,GBR,chr6,1
HG00136,GBR,chr7,1
HG00136,GBR,chr8,1
HG00136,GBR,chr9,1
HG00136,GBR,chr10,3
HG00136,GBR,chr11,1
HG00136,GBR,chr12,7
HG00136,GBR,chr13,
HG00136,GBR,chr14,1
HG00136,GBR,chr15,
HG00136,GBR,chr16,1
HG00136,GBR,chr17,1
HG00136,GBR,chr18,4
HG00136,GBR,chr19,1
HG00136,GBR,chr20,1
HG00136,GBR,chr21,1
HG00136,GBR,chr22,
HG00137,GBR,chr1,9
HG00137,GBR,chr2,6
HG00137,GBR,chr3,
HG00137,GBR,chr4,3
HG00137,GBR,chr5,28
HG00137,GBR,chr6,
HG00137,GBR,chr7,2
HG00137,GBR,chr8,1
HG00137,GBR,chr9,
HG00137,GBR,chr10,2
HG00137,GBR,chr11,
HG00137,GBR,chr12,6
HG00137,GBR,chr13,
HG00137,GBR,chr14,
HG00137,GBR,chr15,2
HG00137,GBR,chr16,
HG00137,GBR,chr17,
HG00137,GBR,chr18,4
HG00137,GBR,chr19,1
HG00137,GBR,chr20,2
HG00137,GBR,chr21,2
HG00137,GBR,chr22,
HG00138,GBR,chr1,78
HG00138,GBR,chr2,24
HG00138,GBR,chr3,15
HG00138,GBR,chr4,41
HG00138,GBR,chr5,973
HG00138,GBR,chr6,6
HG00138,GBR,chr7,30
HG00138,GBR,chr8,3
HG00138,GBR,chr9,12
HG00138,GBR,chr10,9
HG00138,GBR,chr11,10
HG00138,GBR,chr12,267
HG00138,GBR,chr13,
HG00138,GBR,chr14,1
HG00138,GBR,chr15,23
HG00138,GBR,chr16,4
HG00138,GBR,chr17,1
HG00138,GBR,chr18,31
HG00138,GBR,chr19,39
HG00138,GBR,chr20,8
HG00138,GBR,chr21,20
HG00138,GBR,chr22,2
HG00139,GBR,chr1,95
HG00139,GBR,chr2,45
HG00139,GBR,chr3,22
HG00139,GBR,chr4,74
HG00139,GBR,chr5,790
HG00139,GBR,chr6,12
HG00139,GBR,chr7,57
HG00139,GBR,chr8,10
HG00139,GBR,chr9,11
HG00139,GBR,chr10,15
HG00139,GBR,chr11,21
HG00139,GBR,chr12,216
HG00139,GBR,chr13,2
HG00139,GBR,chr14,1
HG00139,GBR,chr15,20
HG00139,GBR,chr16,17
HG00139,GBR,chr17,7
HG00139,GBR,chr18,44
HG00139,GBR,chr19,19
HG00139,GBR,chr20,9
HG00139,GBR,chr21,27
HG00139,GBR,chr22,4
HG00140,GBR,chr1,101
HG00140,GBR,chr2,45
HG00140,GBR,chr3,24
HG00140,GBR,chr4,80
HG00140,GBR,chr5,739
HG00140,GBR,chr6,16
HG00140,GBR,chr7,39
HG00140,GBR,chr8,9
HG00140,GBR,chr9,15
HG00140,GBR,chr10,17
HG00140,GBR,chr11,15
HG00140,GBR,chr12,231
HG00140,GBR,chr13,4
HG00140,GBR,chr14,5
HG00140,GBR,chr15,34
HG00140,GBR,chr16,8
HG00140,GBR,chr17,9
HG00140,GBR,chr18,44
HG00140,GBR,chr19,16
HG00140,GBR,chr20,10
HG00140,GBR,chr21,28
HG00140,GBR,chr22,5
HG00141,GBR,chr1,115
HG00141,GBR,chr2,25
HG00141,GBR,chr3,17
HG00141,GBR,chr4,75
HG00141,GBR,chr5,545
HG00141,GBR,chr6,2
HG00141,GBR,chr7,31
HG00141,GBR,chr8,3
HG00141,GBR,chr9,13
HG00141,GBR,chr10,11
HG00141,GBR,chr11,5
HG00141,GBR,chr12,177
HG00141,GBR,chr13,1
HG00141,GBR,chr14,
HG00141,GBR,chr15,27
HG00141,GBR,chr16,3
HG00141,GBR,chr17,1
HG00141,GBR,chr18,22
HG00141,GBR,chr19,15
HG00141,GBR,chr20,7
HG00141,GBR,chr21,19
HG00141,GBR,chr22,3
HG00142,GBR,chr1,113
HG00142,GBR,chr2,18
HG00142,GBR,chr3,9
HG00142,GBR,chr4,58
HG00142,GBR,chr5,420
HG00142,GBR,chr6,3
HG00142,GBR,chr7,45
HG00142,GBR,chr8,4
HG00142,GBR,chr9,7
HG00142,GBR,chr10,6
HG00142,GBR,chr11,12
HG00142,GBR,chr12,129
HG00142,GBR,chr13,2
HG00142,GBR,chr14,
